player_id,player,position,team,salary,roster_id,injured_reserve,war,value
1985,Marcel Jensen,TE,None,0,999,False,0.0,0.0
769,Jordan Norwood,WR,None,0,999,False,0.0,0.0
7351,Kirk Merritt,WR,NO,0,999,False,0.0,0.0
2567,Bryan Bennett,QB,None,0,999,False,0.0,0.0
8169,Tre Turner,WR,None,0,999,False,0.0,0.0
936,Matt Asiata,RB,None,0,999,False,0.0,0.0
8187,CJ Verdell,RB,None,0,999,False,0.0,0.0
6089,Daniel Helm,TE,None,0,999,False,0.0,0.0
4599,Michael Rector,WR,None,0,999,False,0.0,0.0
1406,Reggie Dunn,WR,None,0,999,False,0.0,0.0
3852,Jaydon Mickens,WR,None,0,999,False,0.0,0.0
7608,Khalil Herbert,RB,CHI,0,5,False,0.0,0.0
2686,Khari Lee,TE,None,0,999,False,0.0,0.0
1339,Zach Ertz,TE,ARI,0,4,False,0.0,0.0
954,Cam Newton,QB,None,0,999,False,0.0,0.0
1020,Terrelle Pryor,WR,None,0,999,False,0.0,0.0
2601,Andre Davis,WR,None,0,999,False,0.0,0.0
7340,Brandon Polk,WR,None,0,999,False,0.0,0.0
5638,Shaq Roland,WR,CHI,0,999,False,0.0,0.0
6845,Zack Moss,RB,BUF,0,999,False,0.0,0.0
145,Rashard Mendenhall,RB,None,0,999,False,0.0,0.0
940,Andre Holmes,WR,None,0,999,False,0.0,0.0
1848,James White,RB,None,0,999,False,0.0,0.0
6954,Cole McDonald,QB,None,0,999,False,0.0,0.0
1109,Chandler Harnish,QB,None,0,999,False,0.0,0.0
7334,Earnest Edwards,WR,None,0,999,False,0.0,0.0
5663,Shane Wimann,RB,None,0,999,False,0.0,0.0
5295,De'Mornay Pierson-El,WR,None,0,999,False,0.0,0.0
5536,Dontrell Hilliard,RB,TEN,0,999,False,0.0,0.0
7176,Caleb Repp,TE,None,0,999,False,0.0,0.0
6269,Kyle Shurmur,QB,None,0,999,False,0.0,0.0
4362,Cethan Carter,TE,MIA,0,999,False,0.0,0.0
1654,Zach Sudfeld,TE,None,0,999,False,0.0,0.0
6703,Andrew Wellock,K,None,0,999,False,0.0,0.0
6091,Jovon Durante,WR,None,0,999,False,0.0,0.0
8087,K.J. Costello,QB,None,0,999,False,0.0,0.0
3041,Ross Travis,TE,None,0,999,False,0.0,0.0
118,Sebastian Janikowski,K,None,0,999,False,0.0,0.0
2585,Thomas Rawls,RB,None,0,999,False,0.0,0.0
4666,Younghoe Koo,K,ATL,0,10,False,0.0,0.0
8107,Nikola Kalinic,TE,IND,0,999,False,0.0,0.0
362,David Johnson,TE,None,0,999,False,0.0,0.0
1352,Robert Woods,WR,TEN,0,10,False,0.0,0.0
8233,Mataeo Durant,RB,None,0,999,False,0.0,0.0
6918,Salvon Ahmed,RB,MIA,0,999,False,0.0,0.0
1550,Ryan Griffin,QB,TB,0,999,False,0.0,0.0
5967,Tony Pollard,RB,DAL,0,8,False,0.0,0.0
49,Robbie Gould,K,SF,0,999,False,0.0,0.0
5587,Chris Warren,RB,None,0,999,False,0.0,0.0
4704,Tyler Ferguson,QB,None,0,999,False,0.0,0.0
1804,Carey Spear,K,None,0,999,False,0.0,0.0
2303,Josh Harris,RB,None,0,999,False,0.0,0.0
6637,Nico Evans,RB,None,0,999,False,0.0,0.0
3673,Nick Rose,K,None,0,999,False,0.0,0.0
4455,Matt Breida,RB,NYG,0,999,False,0.0,0.0
6111,Jake Browning,QB,CIN,0,999,False,0.0,0.0
7961,Jose Borregales,K,None,0,999,False,0.0,0.0
8798,Felix Harper,QB,None,0,999,False,0.0,0.0
7890,Javon McKinley,WR,None,0,999,False,0.0,0.0
3286,Demarcus Robinson,WR,BAL,0,999,False,0.0,0.0
6906,Antonio Gandy-Golden,TE,None,0,999,False,0.0,0.0
2537,Mario Alford,WR,None,0,999,False,0.0,0.0
5808,Connor Jessop,QB,None,0,999,False,0.0,0.0
386,Brandon Lloyd,WR,None,0,999,False,0.0,0.0
8553,Tre Ford,QB,None,0,999,False,0.0,0.0
4330,JoJo Natson,WR,None,0,999,False,0.0,0.0
